Dates,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
2015-01-26,-1.4005225,-1.4402263,-0.6994141,0.9443495,0.23990339,0.8860305,-0.22873558,0.9491022,-0.9310205,-0.92403233,-0.6473093,-0.13170731,-1.1863806,-0.39705393,-0.6933831,-0.19907853,-0.057560124,-0.8700175,-1.3743198,-0.3491526,-0.8752924,-0.9562868,0.78950584,0.70643437,-0.66382927,1.5433301,-1.1000855,0.17455012,0.08330728,-0.7236308,0.39662844,-0.97436786,-0.40654147,0.2536885,-0.7363112,0.5808098,0.5399907,-0.19431469,0.6653213,0.6626635,1.5101182,0.1294231,-0.8223809,-1.0692918,-0.35388792,-1.7804163,-1.2149547,-1.1770464,-0.26436406,0.08980649,-0.14318651,-0.11141321,0.144102,-1.364631,0.27740026,1.107116,1.8230627,1.409687,1.6688123,0.36057344,0.60249794,0.45865446,-1.4159906,0.2323641,1.0715485,0.795118,-0.15662298,-0.04397407,-0.3194656,-0.3125487,0.18812314,0.21370174,0.5456825,-0.020843815,0.2889339,0.48780027,0.087340996,-0.5535995,-1.557134,0.8682927,-0.34180593,0.1403194,0.3778067,-0.62032104,0.051510468,0.18987846,-0.09157489,0.04292618,0.1344012,0.35189483,0.13967296,0.13838094,0.3901077,-0.6732711,0.10945715,0.79825544,0.24936472,0.42576796,0.95375943,-0.32661563,-0.89846075,-0.22079188,-0.18966731,-0.23920612,-0.96791106,0.554222,-0.04459068,0.13606957,0.21452357,0.1859185,0.050378606,0.93980455,-0.073565915,-0.29336476,-0.039537318,1.1122017,0.085948676,0.11541724,0.17499658,1.352679,-0.14369452,0.2817717,0.4660589,0.5186725,0.25907218,0.30642456,0.29920626,0.20504862
2015-01-27,-1.4183276,-1.4429194,-0.7190918,0.94817924,0.24998458,0.906808,-0.23260657,0.95131063,-0.9317776,-0.93453705,-0.6513386,-0.13050354,-1.2001026,-0.39098686,-0.7006242,-0.1968742,-0.04977823,-0.87799436,-1.3849561,-0.34967893,-0.87787974,-0.9683994,0.80579233,0.7169751,-0.6685637,1.5607618,-1.0990874,0.1677187,0.081835866,-0.7322298,0.40205896,-0.99594706,-0.4063697,0.25263703,-0.74612933,0.58996046,0.5528102,-0.19101974,0.6642556,0.6689215,1.5121963,0.13533184,-0.8229449,-1.0927566,-0.35752612,-1.8166087,-1.2295402,-1.1830158,-0.27359638,0.09520829,-0.14423838,-0.11684194,0.14353803,-1.3860345,0.28416133,1.1160371,1.8447558,1.4303318,1.6839354,0.36392546,0.612596,0.46210575,-1.4307792,0.23216264,1.0781054,0.8021523,-0.15889893,-0.054837316,-0.32468042,-0.3216139,0.19302595,0.21492422,0.5614353,-0.036116492,0.29063833,0.50004256,0.098607466,-0.559804,-1.5737336,0.8743536,-0.34442064,0.14440459,0.3779398,-0.62610865,0.06069322,0.19435409,-0.07969774,0.03974562,0.1367754,0.35163623,0.14996992,0.12880182,0.3952474,-0.6750663,0.10303861,0.80307233,0.24843456,0.43239796,0.9564822,-0.3390134,-0.90085644,-0.226311,-0.18402076,-0.23376954,-0.9696485,0.5406872,-0.042964116,0.13248566,0.2274144,0.18636483,0.04598357,0.9470634,-0.07765742,-0.29407665,-0.033455756,1.1290135,0.084209405,0.11167836,0.17914388,1.360893,-0.1405364,0.2777568,0.4753142,0.5170311,0.2712816,0.30740643,0.3018808,0.20561409
2015-01-28,-1.4502017,-1.4618905,-0.7387824,0.94650364,0.24960679,0.91456515,-0.23943749,0.95638293,-0.9361216,-0.9425971,-0.6493194,-0.13685358,-1.2090609,-0.3923868,-0.6970012,-0.20128569,-0.048039354,-0.8813654,-1.4006151,-0.33631516,-0.8849448,-0.9709072,0.82944655,0.735774,-0.67077965,1.5770898,-1.1098917,0.15896359,0.08226598,-0.7347057,0.4031382,-1.0095892,-0.40922788,0.25721097,-0.7591021,0.60931516,0.5597033,-0.1884497,0.6759496,0.6693563,1.5296139,0.13253176,-0.8242626,-1.1062708,-0.3610363,-1.8330016,-1.2428207,-1.2094259,-0.28792164,0.11000906,-0.14552858,-0.1284923,0.13907917,-1.3906864,0.29293397,1.1260582,1.8718768,1.4252429,1.7075466,0.36953995,0.62086165,0.4571662,-1.4538059,0.24008572,1.0909412,0.81447953,-0.14574006,-0.06774095,-0.32266706,-0.33182865,0.2048881,0.21394236,0.5866207,-0.043255743,0.29955027,0.49732375,0.120642334,-0.5633229,-1.5875626,0.8782027,-0.34477356,0.15064749,0.36362475,-0.6207806,0.0732571,0.19761433,-0.06576744,0.023339136,0.14564602,0.3468199,0.15169156,0.12940574,0.39005464,-0.67676866,0.10169445,0.8089144,0.25056797,0.43917897,0.9706563,-0.34598553,-0.9092605,-0.23714648,-0.18045072,-0.23909573,-0.99295676,0.5408627,-0.04378831,0.123917036,0.22459096,0.18036221,0.050753262,0.96126884,-0.06184207,-0.30076367,-0.043004144,1.1479541,0.08646538,0.12103549,0.17035206,1.38275,-0.13267319,0.2702252,0.48241383,0.5279821,0.26393825,0.3219318,0.29773137,0.2028752
2015-01-29,-1.4659735,-1.4847927,-0.7394246,0.9344405,0.26795667,0.9216453,-0.24131507,0.9504328,-0.9333509,-0.9439355,-0.6401776,-0.13938294,-1.2147899,-0.395355,-0.68256485,-0.21468566,-0.043240562,-0.8760414,-1.384501,-0.34372365,-0.8903278,-0.97340596,0.84332573,0.72149354,-0.6563628,1.5875411,-1.1016221,0.136067,0.07345995,-0.740271,0.39999145,-1.0143393,-0.4195879,0.263804,-0.7622214,0.6147233,0.5653665,-0.17905645,0.68103194,0.6769285,1.5250704,0.15628776,-0.84517187,-1.1210103,-0.34504917,-1.8351718,-1.2391574,-1.2219057,-0.28892747,0.11621956,-0.14521384,-0.15535173,0.145601,-1.4092791,0.3001198,1.1299286,1.8780137,1.436067,1.7280589,0.36636803,0.6302891,0.4702664,-1.4710841,0.23014164,1.1213913,0.81484544,-0.16590306,-0.08131244,-0.30232516,-0.3400085,0.22101872,0.22287293,0.5806283,-0.049279764,0.30978188,0.4803229,0.14837083,-0.5798342,-1.6017324,0.90449333,-0.3275848,0.17019626,0.34965342,-0.6147802,0.064294055,0.19639313,-0.0505528,0.016431695,0.14026487,0.3310941,0.15207541,0.12351516,0.3767584,-0.6989628,0.07499449,0.7979703,0.24249533,0.4528549,0.9584708,-0.33266753,-0.91295433,-0.2201566,-0.15684834,-0.24330457,-1.0014852,0.53104305,-0.038272448,0.12235065,0.2340667,0.1709412,0.041858096,0.9358679,-0.049583055,-0.31843275,-0.03221873,1.1512136,0.102755934,0.10777295,0.17629112,1.403572,-0.12345809,0.27060586,0.4849633,0.5161872,0.27662468,0.31703448,0.3222078,0.19962747
2015-01-30,-1.4422023,-1.4759065,-0.7126287,0.90900767,0.28098977,0.8942253,-0.23526266,0.94813603,-0.9091596,-0.92055,-0.6259677,-0.12370616,-1.1944393,-0.39800692,-0.672572,-0.20767881,-0.057974197,-0.87139183,-1.3554003,-0.3356093,-0.8735751,-0.9728485,0.83788514,0.69903153,-0.6312227,1.5701647,-1.097894,0.14609605,0.089197665,-0.7309567,0.3977481,-0.9976446,-0.40379795,0.24136844,-0.7427614,0.60962236,0.5500937,-0.17404786,0.67784035,0.67234766,1.5257008,0.12877917,-0.83912563,-1.098547,-0.33506894,-1.804738,-1.2322165,-1.2068226,-0.27075326,0.11786041,-0.14524016,-0.14628334,0.14623916,-1.4088408,0.2992126,1.0943425,1.8458877,1.413314,1.6886778,0.3419513,0.6161228,0.47296235,-1.4323623,0.23371935,1.1002566,0.8152241,-0.18427995,-0.09788354,-0.2969705,-0.32019737,0.22740982,0.19481903,0.54981995,-0.026468571,0.32277548,0.48597226,0.1292628,-0.5712986,-1.5894704,0.8980373,-0.32162654,0.18681803,0.35310596,-0.5818622,0.061741654,0.20054524,-0.06412497,0.0008016648,0.12039043,0.30780336,0.14797904,0.1174805,0.37865475,-0.6753458,0.067887425,0.79615295,0.24583739,0.45334172,0.94381684,-0.32021463,-0.90985644,-0.22156161,-0.15637672,-0.25281763,-0.9993613,0.5344875,-0.04511603,0.12533438,0.2224249,0.15382951,0.04253044,0.9111287,-0.036555715,-0.30118093,-0.036509994,1.1084058,0.10899319,0.12060858,0.16665646,1.3914597,-0.13521016,0.25772983,0.4912041,0.49613652,0.27230662,0.30852628,0.30786842,0.20911975
2015-02-02,-1.4421726,-1.4592195,-0.68171847,0.9126662,0.28119022,0.87221676,-0.23223414,0.968211,-0.9139482,-0.910614,-0.6131258,-0.11256175,-1.1564152,-0.39839858,-0.67221063,-0.19702566,-0.049776025,-0.8672481,-1.3408148,-0.36417732,-0.87732744,-0.9765665,0.82075715,0.70090765,-0.6383892,1.5433443,-1.0926751,0.15780811,0.09637729,-0.7457415,0.39258093,-0.9829141,-0.39839503,0.23383129,-0.7489882,0.5949576,0.5490413,-0.17312577,0.68545544,0.68329537,1.5463156,0.1121234,-0.83140063,-1.0917264,-0.32765475,-1.7948048,-1.2234766,-1.2191333,-0.26252952,0.1036589,-0.13803448,-0.13030903,0.13200803,-1.4154447,0.27912074,1.1166015,1.8254719,1.4254377,1.6678926,0.34104916,0.6383966,0.485754,-1.4101621,0.23671725,1.0872624,0.7971424,-0.1809004,-0.088595286,-0.2735156,-0.32115918,0.20268795,0.19808483,0.5599951,-0.03922288,0.32975686,0.46180826,0.13232696,-0.5924868,-1.5741984,0.88781863,-0.31622946,0.19070521,0.35583547,-0.59329283,0.07413667,0.18245015,-0.076097876,0.01962692,0.11184554,0.30981147,0.14852943,0.10641472,0.36699012,-0.69876623,0.06338763,0.7939335,0.2587934,0.4678081,0.9213227,-0.3115477,-0.9224554,-0.21899703,-0.18100238,-0.25242427,-0.9553803,0.55570924,-0.06405876,0.15358377,0.23092744,0.1384033,0.04652433,0.89844036,-0.05223044,-0.30390805,-0.07245405,1.0667065,0.07173843,0.12416935,0.17728576,1.368512,-0.14321816,0.2561941,0.5000471,0.50836605,0.2784655,0.30209422,0.32537717,0.2602721
2015-02-03,-1.4446247,-1.4641671,-0.6908702,0.9312744,0.2899574,0.8961232,-0.22644448,0.9713847,-0.92655563,-0.91031754,-0.6157416,-0.114897124,-1.1700151,-0.3987574,-0.67515016,-0.1865198,-0.05316716,-0.86067665,-1.3572955,-0.3652142,-0.8854377,-0.974062,0.8193522,0.7074136,-0.6432634,1.5665319,-1.096412,0.15472054,0.08881759,-0.7555393,0.3743441,-0.9817746,-0.41192853,0.23909569,-0.7633599,0.6108458,0.56784385,-0.17587838,0.67236066,0.6753577,1.5375621,0.12620035,-0.82331234,-1.0909619,-0.32133657,-1.8189998,-1.2272784,-1.2369139,-0.2837106,0.091377474,-0.14721693,-0.12499139,0.14165616,-1.4363815,0.27311715,1.1396537,1.8570839,1.441413,1.6913658,0.33339953,0.6404494,0.5092515,-1.429299,0.23400381,1.0964149,0.80403125,-0.20707223,-0.08105931,-0.2733748,-0.33205926,0.20395961,0.21189176,0.5775962,-0.049079005,0.33913207,0.4670422,0.1377898,-0.59492207,-1.594332,0.90590435,-0.30242082,0.20109816,0.37234733,-0.605861,0.057813622,0.19394013,-0.06531382,0.02973858,0.10727486,0.30256727,0.15717766,0.10064008,0.36337924,-0.70472467,0.06526073,0.78378534,0.26064247,0.48032016,0.92209995,-0.32517833,-0.92811954,-0.20933345,-0.18215445,-0.25076637,-0.9443956,0.53363925,-0.05405756,0.15065596,0.23596904,0.1408912,0.028752696,0.90544385,-0.061723813,-0.31369233,-0.07300642,1.0863619,0.06450452,0.10858969,0.18226872,1.3673222,-0.14924376,0.2583419,0.49532905,0.49773973,0.30634668,0.29556194,0.32700172,0.25887698
2015-02-04,-1.42433,-1.4259425,-0.6635218,0.9373088,0.26102415,0.8738234,-0.21767093,0.9798633,-0.92756206,-0.8885944,-0.6131228,-0.09908349,-1.1420168,-0.4054137,-0.6916909,-0.1615774,-0.06179016,-0.8724919,-1.3624877,-0.36268997,-0.88168406,-0.9797994,0.7849981,0.7029582,-0.6570851,1.5473505,-1.100067,0.19126563,0.0979521,-0.76707613,0.36258048,-0.9647857,-0.41355103,0.22278258,-0.736805,0.5944969,0.573406,-0.19984323,0.6668769,0.69397503,1.5406492,0.08573708,-0.80782294,-1.0592366,-0.3247208,-1.7923708,-1.2015553,-1.212562,-0.2615519,0.055958353,-0.124189615,-0.09341145,0.15539375,-1.3929912,0.24842653,1.1230372,1.8111959,1.4206971,1.6544945,0.3033979,0.6067294,0.5112411,-1.3871262,0.25018558,1.0697417,0.79773486,-0.20249976,-0.050000068,-0.28347936,-0.3217087,0.17346787,0.19493479,0.5691551,-0.02126079,0.32610607,0.4770664,0.08948042,-0.58237135,-1.5652171,0.9093033,-0.31004637,0.18411073,0.39686352,-0.6218699,0.046602104,0.211582,-0.095334634,0.057755433,0.092393175,0.30237657,0.14916983,0.11584881,0.37822372,-0.6838054,0.0971456,0.79497504,0.26479417,0.4858091,0.9385381,-0.34044823,-0.91920507,-0.21305178,-0.2008998,-0.24140778,-0.91656566,0.53983176,-0.056692086,0.16195318,0.21881744,0.15084644,0.028014872,0.9059908,-0.087085426,-0.29842037,-0.10414808,1.0660499,0.044744324,0.10754263,0.17591189,1.3579249,-0.18167603,0.25601724,0.47255054,0.4982834,0.29333806,0.31325135,0.30486,0.2785503
2015-02-05,-1.4300288,-1.4133159,-0.68340653,0.92688084,0.26597077,0.8813242,-0.22970891,0.96217513,-0.9333544,-0.8973439,-0.60271513,-0.09865284,-1.1698773,-0.39789474,-0.68601733,-0.15964767,-0.06366019,-0.8647491,-1.3402287,-0.3536173,-0.88331753,-0.9690008,0.7989336,0.69665384,-0.6382927,1.5411973,-1.0954595,0.18811044,0.08521007,-0.7609985,0.36443296,-0.945125,-0.4064439,0.22275034,-0.74190736,0.59604335,0.590508,-0.19140467,0.65513295,0.69709295,1.5120742,0.11582148,-0.80774057,-1.0825367,-0.32005498,-1.8064485,-1.2051858,-1.2006459,-0.28213316,0.06627172,-0.14000793,-0.09564644,0.1570153,-1.4014797,0.24680746,1.119299,1.8231035,1.439523,1.6798148,0.3038042,0.610505,0.505943,-1.3981245,0.22588484,1.0782889,0.8035244,-0.2216017,-0.043156438,-0.27156433,-0.3410954,0.19638115,0.1907595,0.5595027,-0.043153167,0.3360378,0.480012,0.109794095,-0.59660965,-1.5755249,0.9020459,-0.3165382,0.18052883,0.3946576,-0.61959434,0.06614533,0.19683084,-0.087764114,0.026128752,0.10246568,0.31355408,0.16112076,0.11127767,0.35914037,-0.66705626,0.08526104,0.7723235,0.25359204,0.48285323,0.90771055,-0.31544802,-0.9238032,-0.21302329,-0.18807063,-0.23223916,-0.9262708,0.5273756,-0.041583106,0.14548631,0.22806782,0.16032216,0.013630558,0.89347756,-0.08989694,-0.30803192,-0.07922278,1.0889359,0.053520884,0.10437358,0.2024517,1.3381072,-0.1828976,0.25379086,0.4815666,0.48773322,0.3315004,0.29634055,0.32310322,0.25956208
2015-02-06,-1.408793,-1.3913085,-0.6824986,0.9033604,0.26672202,0.8667875,-0.22616565,0.9316262,-0.90718305,-0.8934945,-0.5877793,-0.10424179,-1.1484652,-0.40237743,-0.67914474,-0.1564188,-0.057741035,-0.8697839,-1.3330307,-0.35005653,-0.86484164,-0.9513775,0.7970218,0.7051741,-0.592398,1.495936,-1.0636194,0.18734403,0.0862345,-0.73653245,0.3995093,-0.9188298,-0.39706996,0.19818655,-0.71090305,0.5721767,0.5715655,-0.20219955,0.66137445,0.65964645,1.483191,0.11186083,-0.7936621,-1.0576571,-0.32624948,-1.7769959,-1.189069,-1.1607772,-0.27785066,0.07507802,-0.14819735,-0.103698485,0.1481998,-1.3875127,0.26598877,1.0831702,1.7942872,1.4043643,1.6620356,0.29993588,0.6162722,0.4874978,-1.3798745,0.21841905,1.056321,0.807438,-0.20135766,-0.020939734,-0.26651818,-0.32704467,0.20471823,0.16471437,0.536998,-0.029611621,0.32738537,0.4800288,0.100826696,-0.5791691,-1.562656,0.86235464,-0.32518664,0.15185577,0.4017614,-0.58424866,0.065745026,0.20074648,-0.07278218,0.01220516,0.11612256,0.34304464,0.17561555,0.134442,0.37149417,-0.6549595,0.07102948,0.75795496,0.24005097,0.47496456,0.90232915,-0.3166032,-0.92390925,-0.20638674,-0.17581242,-0.24311186,-0.94688463,0.5341426,-0.045337655,0.12613767,0.22573872,0.1571972,0.00780093,0.8592868,-0.08808081,-0.31259084,-0.091589674,1.0763987,0.061358623,0.11761217,0.21190663,1.305347,-0.18424271,0.23603451,0.47257504,0.4649248,0.32850736,0.3005354,0.30580878,0.26455536
