Dates,Google,Meta,JPM
2014-12-01,26.982,75.1,60
2014-12-02,26.93,75.46,61.08
2014-12-03,26.849,74.88,61.54
2014-12-04,27.129,75.24,61.38
2014-12-05,26.404,76.36,62.7
2014-12-08,26.537,76.52,62.67
2014-12-09,26.806,76.84,62.45
2014-12-10,26.402,76.18,60.68
2014-12-11,26.606,77.73,61.14
2014-12-12,26.075,77.83,60.04
2014-12-15,25.792,76.99,59.16
2014-12-16,24.908,74.69,58.43
2014-12-17,25.322,76.11,59.77
2014-12-18,25.731,78.4,61.48
2014-12-19,26.002,79.88,61.93
2014-12-22,26.615,81.45,61.94
2014-12-23,26.938,80.61,62.48
2014-12-24,26.847,80.77,62.48
2014-12-25,26.847,80.77,62.48
2014-12-26,27.076,80.775,62.55
2014-12-29,26.865,80.02,62.96
2014-12-30,26.764,79.22,63.15
2014-12-31,26.533,78.02,62.58
2015-01-01,26.533,78.02,62.58
2015-01-02,26.478,78.45,62.49
2015-01-05,25.973,77.19,60.55
2015-01-06,25.332,76.15,58.98
2015-01-07,25.258,76.15,59.07
2015-01-08,25.346,78.175,60.39
2015-01-09,25.036,77.74,59.34
2015-01-12,24.853,76.72,58.83
2015-01-13,25.09,76.45,58.84
2015-01-14,25.297,76.28,56.81
2015-01-15,25.2,74.05,54.99
2015-01-16,25.523,75.18,55.93
2015-01-19,25.523,75.18,55.93
2015-01-20,25.497,76.24,55.71
2015-01-21,26.02,76.74,55.89
2015-01-22,26.865,77.65,57.59
2015-01-23,27.098,77.83,56.68
2015-01-26,26.836,77.495,56.77
2015-01-27,26.06,75.78,56.2
2015-01-28,25.621,76.24,54.75
2015-01-29,25.662,78,55.67
2015-01-30,26.877,75.91,54.38
2015-02-02,26.61,74.99,55.47
2015-02-03,26.665,75.4,56.72
2015-02-04,26.305,75.63,56.38
2015-02-05,26.492,75.615,56.77
2015-02-06,26.694,74.47,57.89
2015-02-09,26.464,74.44,57.82
2015-02-10,27.008,75.19,58.46
2015-02-11,26.9,76.51,58.37
2015-02-12,27.301,76.23,59.57
2015-02-13,27.558,75.74,59.67
2015-02-16,27.558,75.74,59.67
2015-02-17,27.251,75.6,60.1
2015-02-18,27.133,76.71,59.37
2015-02-19,27.323,79.42,59.23
2015-02-20,27.09,79.895,59.8
2015-02-23,26.75,78.84,59.35
2015-02-24,26.932,78.45,60.82
2015-02-25,27.367,79.56,61.14
2015-02-26,27.964,80.41,61.58
2015-02-27,28.132,78.97,61.28
2015-03-02,28.751,79.75,61.77
2015-03-03,28.94,79.6,61.97
2015-03-04,28.917,80.895,62.13
2015-03-05,29.072,81.21,62
2015-03-06,28.645,80.005,60.89
2015-03-09,28.705,79.44,61.5
2015-03-10,27.993,77.55,59.96
2015-03-11,27.785,77.57,60.24
2015-03-12,28.059,78.93,61.37
2015-03-13,27.65,78.05,61
2015-03-16,28.082,78.07,61.85
2015-03-17,27.881,79.365,61.61
2015-03-18,28.308,80.91,61.75
2015-03-19,28.184,82.75,61.2
2015-03-20,28.248,83.8,61.75
2015-03-23,28.269,84.43,61.14
2015-03-24,28.877,85.31,60.46
2015-03-25,28.35,82.92,59.61
2015-03-26,28.182,83.01,59.54
2015-03-27,27.877,83.3,59.55
2015-03-30,28.057,83.195,60.96
2015-03-31,27.735,82.215,60.58
2015-04-01,27.475,81.665,59.95
2015-04-02,27.065,81.555,60.52
2015-04-03,27.065,81.555,60.52
2015-04-06,27.198,82.44,60.47
2015-04-07,27.243,82.32,60.85
2015-04-08,27.442,82.275,61.05
2015-04-09,27.401,82.17,61.47
2015-04-10,27.427,82.04,61.7
2015-04-13,27.432,83.01,62.07
2015-04-14,26.989,83.515,63.04
2015-04-15,27.052,82.705,64.21
2015-04-16,27.176,82.31,63.81
